mts,open,close,high,low,volume
1631645100000,46376.0,46526.0,46551.0,46376.0,67.30052489
1631646000000,46525.0,46541.0,46576.42102355,46489.0,6.42197227
1631646900000,46541.0,46542.0,46566.0,46464.0,10.57993742
1631647800000,46542.0,46535.0,46650.0,46492.0,17.35302178
1631648700000,46539.0,46485.0,46570.0,46472.0,16.54250975
1631649600000,46486.0,46615.0,46616.0,46486.0,17.17824228
1631650500000,46615.56685439,46653.0,46670.0,46591.0,8.23302671
1631651400000,46657.0,46913.0,46994.0,46637.0,31.5186524
1631652300000,46913.0,46830.0,46958.0,46751.0,50.709608349999996
1631653200000,46822.0,46702.0,46848.0,46691.0,11.44569194
1631654100000,46716.0,46522.0,46733.0,46415.0,54.43858475
1631655000000,46532.0,46621.0,46629.0,46527.0,3.82683033
1631655900000,46629.0,46651.0,46781.0,46628.0,13.671203
1631656800000,46651.0,46787.0,46800.0,46612.0,12.32643463
1631657700000,46788.0,46899.0,47238.51708787,46788.0,115.35539133
1631658600000,46903.0,47008.0,47129.0,46822.13850006,34.8488623
1631659500000,47009.0,47177.0,47225.0,47009.0,71.73118327
1631660400000,47178.0,47063.65561244,47236.0,46999.0,20.72933678
1631661300000,47064.83586261,46976.0,47088.0,46958.0,11.52690628
1631662200000,46976.0,47009.0,47085.0,46931.0,14.88008447
1631663100000,47014.15257163,47152.0,47156.0,46991.0,6.31303876
1631664000000,47134.0,47009.0,47199.0,46974.46308745,56.82040829
1631664900000,46998.0,47197.0,47300.0,46980.0,59.96293287
1631665800000,47196.73932068,47275.0,47284.0,47117.83476987,25.76373755
1631666700000,47277.0,47154.0,47357.0,47154.0,103.52031219
1631667600000,47153.47338225,47320.18024486,47444.0,47103.0,46.43940093
1631668500000,47318.99939541,47308.0,47344.0,47231.0,12.74832056
1631669400000,47298.0,47138.0,47298.0,47109.0,11.87680298
1631670300000,47126.0,47045.0,47126.0,47009.52614908,19.87484833
1631671200000,47052.00174857,47035.37687056,47129.0,46998.0,11.08183438
1631672100000,47034.0,47085.0,47100.0,47016.0,6.66445026
1631673000000,47074.87227282,47193.0,47198.0,47074.87227282,14.9358144
1631673900000,47198.99132521,47188.0,47218.447573,47185.0,7.02275079
1631674800000,47188.0,47145.0,47196.0,47109.0747245,3.43877758
1631675700000,47127.0,47170.0,47209.0,46991.0,42.58298277
1631676600000,47170.0,47050.02073313,47188.0,47026.0,17.17352087
1631677500000,47050.0,47110.6943119,47199.0,47044.0,19.14353091
1631678400000,47105.2203554,47055.0,47110.0,46995.0,19.26777643
1631679300000,47054.92456934,47082.0,47121.0,47005.0,5.70406048
1631680200000,47085.0,47017.0,47126.3891765,47011.0,8.84596861
1631681100000,47013.0,46880.0,47061.0,46851.0,19.24073923
1631682000000,46859.48644301,46951.0,46989.0,46829.10662625,19.54668648
1631682900000,46949.0,47058.0,47109.0,46949.0,6.5944237900000005
1631683800000,47059.0,46924.0,47059.0,46911.0,22.95235714
1631684700000,46925.0,46919.0,46989.0,46872.0,12.34599327
1631685600000,46916.0,46827.0,46936.0,46803.0,15.68006368
1631686500000,46826.3372323,46936.0,46953.0,46724.0,51.71737999
1631687400000,46911.0,47006.0,47006.0,46911.0,11.66733872
1631688300000,47006.13081373,46936.0,47025.0,46934.0,12.35919494
1631689200000,46936.0,47091.27486156,47094.0,46903.0,12.98788485
1631690100000,47092.0,47092.0,47158.0,47071.0,13.85044881
1631691000000,47092.92377033,47100.0,47175.0,47089.0,9.79728615
1631691900000,47101.0,47201.0,47228.0,47093.0,17.18862532
1631692800000,47196.0,47320.0,47322.17251792,47160.0,26.44098937
1631693700000,47307.0,47177.0,47307.0,47176.7921058,33.26778307
1631694600000,47176.63042443,47150.7870088,47207.0,47126.0,19.20057477
1631695500000,47150.77152916,47081.0,47214.0,47042.62195249,34.78567115
1631696400000,47077.22331024,47266.0,47266.0,47072.0,30.28830152
1631697300000,47266.81877895,47172.38136724,47287.0,47082.95162387,35.08856598
1631698200000,47170.45616695,47154.40460016,47207.97292161,47077.0,28.11306294
1631699100000,47146.17042008,47148.0,47249.0,47120.0,9.97628477
1631700000000,47149.0,47396.03857721,47396.03857721,47149.0,76.44334502
1631700900000,47396.03857721,47465.0,47465.0,47364.0,122.34593813
1631701800000,47465.0,47591.0,47681.0,47403.86832784,241.46754855
1631702700000,47590.0,47616.0,47680.0,47569.0,34.75869316
1631703600000,47625.0,47629.0,47633.0,47516.0,22.43186039
1631704500000,47628.0,47535.28668053,47676.78164098,47451.0,53.08309739
1631705400000,47534.0,47415.0,47535.74124482,47373.0,28.3738425
1631706300000,47416.0,47578.0,47580.0,47416.0,20.94981607
1631707200000,47580.01534304,47607.0,47621.0,47472.0,384.14462966
1631708100000,47611.0,47624.0,47629.0,47515.0,34.51873023
1631709000000,47624.0,47565.0,47624.0,47491.0,17.38745362
1631709900000,47564.0,47389.0,47564.0,47325.0,70.9886703
1631710800000,47389.0,47521.0,47522.0,47350.0,22.73278298
1631711700000,47521.0,47601.0,47601.0,47491.0,231.18654867
1631712600000,47601.0,47705.0,47756.0,47502.0,175.07916459
1631713500000,47706.0,47741.0,47823.0,47631.0,117.96069631
1631714400000,47739.0,47835.0,47870.0,47739.0,49.79662104
1631715300000,47838.0,47775.0,47842.0,47733.0,24.39910617
1631716200000,47775.0,47677.0,47817.26942378,47642.37769013,27.63895133
1631717100000,47676.0,47867.0,47899.0,47676.0,68.20534485
1631718000000,47878.0,48088.0,48135.0,47812.0,226.78330835
1631718900000,48105.0,48062.43384047,48153.0,47975.0,69.43717644
1631719800000,48063.0,48220.0,48285.0,48024.0,119.95867044
1631720700000,48221.0,48299.0,48300.0,48154.0,33.2823715
1631721600000,48299.0,48342.0,48377.0,48221.0,41.53212252
1631722500000,48349.0,48223.14306863,48429.0,48223.14306863,31.21572947
1631723400000,48223.14306863,48254.0,48276.0,48144.0,12.86991733
1631724300000,48259.0,48047.0,48290.0,48022.0,29.20624341
1631725200000,48047.0,48142.0,48170.0,48046.55137158,26.40037552
1631726100000,48141.0,48206.0,48217.0,48107.0,4.5523052900000005
1631727000000,48194.0,48201.0,48250.0,48194.0,5.02478029
1631727900000,48200.0,47978.0,48265.0,47959.0,32.67234039
1631728800000,47981.57824816,47951.0,48046.0,47865.0,107.79085279
1631729700000,47952.0,47994.0,48029.0,47936.15752847,12.70515333
1631730600000,47991.0,47971.0,48029.0,47897.0,10.24115984
1631731500000,47971.0,48047.0,48067.0,47971.0,7.94708827
1631732400000,48038.0,48026.0,48106.0,47991.0,29.50874772
1631733300000,48007.55875753,48077.0,48091.0,47952.6063289,26.72751108
1631734200000,48085.0,48155.0,48155.0,48022.0,10.10737513
1631735100000,48154.0,48094.0,48157.0,48041.0,11.11454297
